Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Big Mummy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Daddy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Jania,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Amy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Amy,NFCDOT-AP-HX03QZQF008LMWDJAQG386J2QQG8N9,Netflix Android Phone Other HTML 5,,,,,,,,,
Daddy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2019-05-08T08:41:45.236Z,2021-12-31T07:59:58.534Z,2020-01-19T15:29:57.797Z,2021-12-28T02:37:56.436Z,
Amy,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,FireTV Stick 2016,2019-12-12T10:40:42.849Z,2022-01-04T16:03:08.822Z,2020-01-06T13:18:53.453Z,2022-01-04T16:03:08.822Z,2020-01-04T09:50:34.016Z,2021-12-30T14:58:12.744Z,2020-01-06T13:18:53.453Z,2021-12-29T08:54:17.615Z,
Raj,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2020-03-31T05:53:03.843Z,2021-12-27T12:01:56.089Z,2020-03-31T05:53:13.301Z,2021-05-31T15:34:47.322Z,
Amy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-04-12T05:50:02.890Z,2021-12-25T09:02:08.136Z,2021-04-12T06:31:11.961Z,2021-12-25T09:02:08.136Z,
Amy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2021-12-25T08:37:08.623Z,2021-05-31T18:55:02.105Z,2021-12-25T08:37:08.623Z,
Big Mummy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2020-06-04T08:40:22.549Z,2021-12-21T13:57:37.763Z,2020-06-04T08:40:42.584Z,2021-01-11T14:58:20.327Z,
Daddy,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-03-15T16:52:24.562Z,2021-11-28T11:06:06.251Z,2020-03-15T16:52:24.562Z,2021-11-28T11:06:06.251Z,
Daddy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Jania,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Amy,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
Daddy,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
Jania,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
