Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Raj,2019-01-13 06:30:02,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,Rajma Chawal,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-12 09:53:59,ADD_EMAIL_TO_PROFILE_UMA,ALERTS,IN,,,,SURESHTKUMAR.COM,,,,0
Raj,2019-01-08 08:16:19,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Better Call Saul,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-08 08:16:15,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Better Call Saul,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-06 07:22:16,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,,0
Raj,2019-01-06 07:22:16,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-03 07:02:21,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,House of Cards,SURESHTKUMAR.COM,,,,0
Raj,2019-01-03 07:02:21,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,House of Cards,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-01 11:51:07,PUSH_NEW_SEASON_ALERT,PUSH,IN,en-GB,en-GB,A Series of Unfortunate Events,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-01 11:20:41,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,IN,,,A Series of Unfortunate Events,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2019-01-01 07:41:10,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Black Mirror: Bandersnatch,SURESHTKUMAR.COM,,,,0
Raj,2019-01-01 07:41:10,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,Black Mirror: Bandersnatch,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-30 08:13:17,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Spartacus,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-30 08:13:16,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Spartacus,SURESHTKUMAR.COM,,,,0
Raj,2018-12-27 07:34:09,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,The Haunting of Hill House,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
